elapsed_s,err_x_px,err_pitch_px,marker_px,err_x_cm,distance_cm,lateral_thr_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,actual_yaw_deg,vib_x,vib_y,vib_z,aligned
0.000,2,-45,26,0.23,109.65,214.9,1522,1400,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.017,3,-45,26,0.35,109.65,214.9,1522,1400,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.034,3,-45,26,0.35,109.65,214.9,1522,1433,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.051,4,-45,26,0.46,109.65,214.9,1522,1453,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.068,5,-45,26,0.58,109.65,214.9,1522,1463,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.085,6,-45,26,0.69,109.65,214.9,1522,1468,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.102,8,-45,26,0.92,109.65,214.9,1522,1471,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.119,9,-45,26,1.04,109.65,214.9,1522,1472,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.136,10,-45,26,1.15,109.65,214.9,1522,1473,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.153,10,-45,26,1.15,109.65,214.9,1522,1473,-1.31,-0.84,-122.53,2.2096,3.5582,9.3507,0
0.170,11,-45,26,1.27,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,2.2096,3.5582,9.3507,0
0.187,12,-45,26,1.38,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,2.2096,3.5582,9.3507,0
0.204,13,-45,26,1.50,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,2.2096,3.5582,9.3507,0
0.221,13,-45,26,1.50,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,2.2096,3.5582,9.3507,0
0.238,14,-45,26,1.62,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.255,16,-45,26,1.85,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.272,17,-45,26,1.96,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.289,18,-45,26,2.08,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.306,19,-45,26,2.19,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.324,21,-45,26,2.42,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.341,23,-45,26,2.65,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.358,24,-45,26,2.77,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.375,26,-45,26,3.00,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.393,27,-45,26,3.12,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.410,29,-45,26,3.35,109.65,214.9,1522,1473,-1.38,-1.83,-122.49,1.9617,2.8211,8.7437,0
0.428,31,-45,26,3.58,109.65,214.9,1522,1473,-1.32,-1.35,-122.31,1.9617,2.8211,8.7437,0
0.445,33,-45,26,3.81,109.65,214.9,1522,1473,-1.32,-1.35,-122.31,1.9617,2.8211,8.7437,0
0.462,34,-45,26,3.92,109.65,214.9,1522,1473,-1.32,-1.35,-122.31,1.9617,2.8211,8.7437,0
0.479,36,-45,26,4.15,109.65,214.9,1522,1473,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.496,38,-45,26,4.38,109.65,214.9,1522,1473,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.513,40,-45,26,4.62,109.65,214.9,1523,1473,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.530,41,-44,27,4.56,105.59,214.5,1522,1477,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.547,43,-45,26,4.96,109.65,214.9,1523,1472,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.564,45,-45,26,5.19,109.65,214.9,1524,1472,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.581,48,-45,26,5.54,109.65,214.9,1529,1473,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.598,50,-44,27,5.56,105.59,214.5,1528,1477,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.615,52,-45,26,6.00,109.65,214.9,1527,1471,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.632,54,-45,26,6.23,109.65,214.9,1528,1472,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.649,57,-45,26,6.58,109.65,214.9,1532,1473,-1.32,-1.35,-122.31,1.9469,3.4805,8.2861,0
0.666,59,-44,27,6.56,105.59,214.5,1530,1477,-0.88,-0.86,-122.18,1.9469,3.4805,8.2861,0
