attempt,align_time_s,total_abs_err_px,rms_vib
1,14.39,85198,8.9546
2,0.02,0,8.3663
3,7.62,36616,9.2175
4,0.48,6407,9.0829
5,0.02,0,7.1074
6,0.03,60,7.1074
7,0.14,235,7.1571
8,1.26,7376,9.0142
9,0.82,6263,9.4734
10,0.17,1836,9.2715
11,2.20,12572,8.7469
12,1.54,5943,9.3642
13,0.03,141,8.2944
14,3.13,20402,9.2088
15,2.95,13424,9.3977
16,0.07,130,9.1712
17,0.68,10298,9.6232
18,1.19,8796,9.2275
19,0.82,1584,9.5334
20,0.02,0,9.0398
21,0.02,0,9.0398
22,5.33,24677,9.4840
23,0.84,9113,9.1146
24,2.02,9165,9.1808
