attempt,align_time_s,total_abs_err_px,rms_vib
1,0.05,0,6.5998
2,0.29,0,7.2223
3,0.08,0,7.7337
4,0.07,0,6.8953
5,0.10,0,6.8953
6,0.09,0,6.6681
7,0.05,0,6.5122
8,0.53,0,6.3195
9,0.14,0,6.6960
10,0.14,0,6.8994
11,0.15,0,6.8949
12,0.15,0,6.1056
13,0.19,0,7.1008
14,0.12,0,7.5625
15,0.09,0,7.6401
16,0.10,0,7.6490
17,0.05,0,6.0978
18,0.07,0,6.0978
19,0.07,0,6.1043
20,0.08,0,6.1043
21,0.05,0,6.6699
22,0.05,0,6.6699
23,0.05,0,6.5344
24,0.03,0,6.4657
25,0.03,0,6.4657
26,0.05,0,6.9243
27,0.03,0,6.9243
28,0.03,0,6.9243
29,0.03,0,7.0344
30,0.03,0,7.0344
31,0.12,0,6.9290
32,0.03,0,6.6581
33,0.07,0,7.1544
34,0.05,0,7.2613
35,0.02,0,7.2613
36,0.09,0,7.2613
37,0.10,0,5.5985
38,0.03,0,5.5985
39,0.05,0,6.5307
40,0.03,0,6.5307
41,0.02,0,6.5307
42,0.02,0,7.4817
43,0.05,0,7.4817
44,0.03,0,7.4817
45,0.05,0,6.7519
46,0.27,0,6.9332
47,0.27,0,7.2808
48,0.61,0,7.4437
49,0.12,0,7.5318
50,0.32,0,7.4933
51,0.03,0,7.8853
52,1.16,1428,6.9192
53,0.03,0,6.8322
54,0.03,0,6.8322
55,6.75,10295,6.9874
56,0.12,0,6.5557
57,0.10,0,6.6196
58,1.46,0,7.7256
59,0.17,0,7.9559
60,0.49,0,7.8396
61,0.24,0,7.5586
62,1.11,0,8.2069
63,0.12,0,7.2141
64,0.03,0,7.2141
65,0.15,0,7.5689
66,0.10,0,7.6121
67,0.53,0,7.8855
