elapsed_s,err_x_px,err_pitch_px,marker_px,err_x_cm,distance_cm,lateral_thr_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,actual_yaw_deg,vib_x,vib_y,vib_z,aligned
0.000,0,0,0,0.00,-1.00,0.0,1500,1500,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.017,0,0,0,0.00,-1.00,0.0,1500,1500,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.034,-215,-34,37,-17.43,77.05,211.0,1447,1473,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.051,0,0,0,0.00,-1.00,0.0,1447,1473,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.068,0,0,0,0.00,-1.00,0.0,1447,1473,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.085,-221,-33,38,-17.45,75.02,210.7,1445,1474,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.102,-225,-33,38,-17.76,75.02,210.7,1430,1474,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.119,-225,-33,38,-17.76,75.02,210.7,1437,1474,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.136,-231,-33,38,-18.24,75.02,210.7,1418,1474,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.153,-232,-33,38,-18.32,75.02,210.7,1426,1474,-1.26,0.62,-118.86,2.0040,3.5453,6.9385,0
0.170,-236,-32,39,-18.15,73.10,210.3,1419,1478,-2.83,0.30,-119.33,2.0040,3.5453,6.9385,0
0.187,-239,-32,39,-18.38,73.10,210.3,1419,1477,-2.83,0.30,-119.33,2.0040,3.5453,6.9385,0
0.204,-242,-32,39,-18.62,73.10,210.3,1418,1476,-2.83,0.30,-119.33,2.0040,3.5453,6.9385,0
0.221,-244,-32,39,-18.77,73.10,210.3,1422,1475,-2.83,0.30,-119.33,2.0040,3.5453,6.9385,0
0.238,-247,-32,39,-19.00,73.10,210.3,1419,1475,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.255,-249,-32,39,-19.15,73.10,210.3,1421,1475,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.272,-252,-31,40,-18.90,71.27,210.0,1418,1478,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.290,-254,-31,40,-19.05,71.27,210.0,1420,1477,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.307,-256,-31,40,-19.20,71.27,210.0,1422,1477,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.324,-257,-31,40,-19.27,71.27,210.0,1425,1476,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.342,-260,-31,40,-19.50,71.27,210.0,1419,1476,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.359,-262,-31,40,-19.65,71.27,210.0,1420,1476,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.376,-264,-31,40,-19.80,71.27,210.0,1420,1476,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.393,-265,-31,40,-19.88,71.27,210.0,1423,1476,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.411,-267,-30,41,-19.54,69.53,209.6,1421,1478,-2.83,0.30,-119.33,3.1172,2.5882,8.7976,0
0.428,-268,-30,41,-19.61,69.53,209.6,1424,1478,-3.71,0.30,-119.72,3.1172,2.5882,8.7976,0
0.445,-271,-30,41,-19.83,69.53,209.6,1417,1477,-3.71,0.30,-119.72,3.1172,2.5882,8.7976,0
0.462,-272,-30,41,-19.90,69.53,209.6,1421,1477,-3.71,0.30,-119.72,3.1172,2.5882,8.7976,0
0.479,-273,-30,41,-19.98,69.53,209.6,1423,1477,-3.71,0.30,-119.72,3.1172,2.5882,8.7976,0
0.496,-274,-30,41,-20.05,69.53,209.6,1424,1476,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.513,-275,-30,41,-20.12,69.53,209.6,1424,1476,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.530,-276,-30,41,-20.20,69.53,209.6,1424,1476,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.547,-277,-29,42,-19.79,67.88,209.3,1424,1478,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.564,-278,-29,42,-19.86,67.88,209.3,1424,1478,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.581,-278,-29,42,-19.86,67.88,209.3,1427,1478,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.598,-279,-29,42,-19.93,67.88,209.3,1425,1478,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.615,-279,-29,42,-19.93,67.88,209.3,1428,1477,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.632,-280,-29,42,-20.00,67.88,209.3,1426,1477,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.649,-280,-29,42,-20.00,67.88,209.3,1428,1477,-3.71,0.30,-119.72,3.2805,2.1407,8.4857,0
0.667,-281,-28,43,-19.60,66.30,208.9,1425,1478,-3.09,0.13,-119.63,3.2805,2.1407,8.4857,0
0.684,-282,-29,42,-20.14,67.88,209.3,1424,1475,-3.09,0.13,-119.63,3.2805,2.1407,8.4857,0
0.700,-283,-28,43,-19.74,66.30,208.9,1423,1478,-3.09,0.13,-119.63,3.2805,2.1407,8.4857,0
0.717,-284,-27,44,-19.36,64.79,208.6,1423,1478,-3.09,0.13,-119.63,3.2805,2.1407,8.4857,0
0.734,-284,-27,44,-19.36,64.79,208.6,1426,1478,-3.09,0.13,-119.63,3.4811,2.0933,8.4372,0
0.751,-284,-27,44,-19.36,64.79,208.6,1428,1478,-3.09,0.13,-119.63,3.4811,2.0933,8.4372,0
0.768,-283,-27,44,-19.30,64.79,208.6,1432,1478,-3.09,0.13,-119.63,3.4811,2.0933,8.4372,0
0.785,-282,-27,44,-19.23,64.79,208.6,1435,1478,-3.09,0.13,-119.63,3.4811,2.0933,8.4372,0
0.802,-281,-27,44,-19.16,64.79,208.6,1436,1478,-3.09,0.13,-119.63,3.4811,2.0933,8.4372,0
