attempt,align_time_s,total_abs_err_px,rms_vib
1,4.82,2655,9.0435
2,0.20,0,10.1243
3,0.03,0,10.2296
4,0.03,0,10.2296
5,0.20,0,10.1319
6,0.20,0,8.9373
7,0.24,0,8.9008
8,0.02,0,8.8947
9,0.08,0,9.6577
10,0.10,0,9.6577
11,0.03,0,9.1743
12,0.09,0,8.6641
13,0.02,0,8.6641
14,0.15,0,9.4860
15,0.02,0,9.7080
16,0.34,0,8.6593
17,0.07,0,8.0409
18,0.10,0,8.0409
19,0.10,0,8.3614
20,0.02,0,8.4241
21,0.02,0,8.4241
22,0.03,0,8.4241
23,0.07,0,8.4433
24,0.03,0,8.4497
25,0.03,0,9.5480
26,0.26,0,9.4674
27,0.02,0,9.1376
28,0.03,0,9.1376
29,0.03,0,9.1376
30,0.02,0,9.1376
31,0.03,0,8.4897
32,0.41,0,9.2468
33,0.07,0,9.8071
34,0.03,0,9.8071
35,0.05,0,8.5973
36,0.03,0,8.5973
37,0.05,0,8.5973
38,0.09,0,8.8160
39,0.02,0,8.8699
40,0.44,0,8.5193
41,0.29,0,7.7750
42,0.29,0,8.8622
43,0.03,0,9.5983
44,0.02,0,10.0470
45,0.22,0,9.9675
