attempt,align_time_s,total_abs_err_x_px,total_abs_err_y_px,total_abs_err_pitch_px,mean_vib_x,mean_vib_y,mean_vib_z
81,2.19,7911,7316,2576,0.0000,0.0000,0.0000
82,0.04,105,121,16,0.0000,0.0000,0.0000
83,0.13,296,430,59,0.0000,0.0000,0.0000
84,0.70,2621,698,987,0.0000,0.0000,0.0000
85,6.43,16693,6000,13300,0.0000,0.0000,0.0000
86,2.40,6877,4809,4047,0.0000,0.0000,0.0000
87,0.02,29,8,30,0.0000,0.0000,0.0000
88,5.51,45304,18334,3952,0.0000,0.0000,0.0000
89,0.02,13,40,30,0.0000,0.0000,0.0000
90,0.04,28,82,61,0.0000,0.0000,0.0000
91,3.25,11696,4123,5821,0.0000,0.0000,0.0000
92,3.45,10438,6828,6477,0.0000,0.0000,0.0000
93,0.04,93,89,61,0.0000,0.0000,0.0000
94,0.04,111,88,61,0.0000,0.0000,0.0000
95,0.05,182,147,85,0.0000,0.0000,0.0000
96,1.64,6552,3282,1890,0.0000,0.0000,0.0000
97,1.63,6891,3965,2862,0.0000,0.0000,0.0000
98,0.05,39,96,92,0.0000,0.0000,0.0000
99,0.74,2680,266,842,0.0000,0.0000,0.0000
100,0.45,1699,840,742,0.0000,0.0000,0.0000
101,0.10,277,95,185,0.0000,0.0000,0.0000
102,1.30,1977,2762,2397,0.0000,0.0000,0.0000
103,4.54,15202,6998,8031,0.0000,0.0000,0.0000
104,0.02,46,41,30,0.0000,0.0000,0.0000
105,0.04,110,79,61,0.0000,0.0000,0.0000
106,0.02,55,42,30,0.0000,0.0000,0.0000
107,0.86,1299,3181,1043,0.0000,0.0000,0.0000
