attempt,align_time_s,total_abs_err_x_px,total_abs_err_y_px,total_abs_err_pitch_px,mean_vib_x,mean_vib_y,mean_vib_z
1,0.00,43,35,29,0.0000,0.0000,0.0000
2,3.04,15315,11948,2590,0.0000,0.0000,0.0000
3,1.24,5528,2705,1487,0.0000,0.0000,0.0000
4,0.12,426,319,157,0.0000,0.0000,0.0000
5,0.94,3873,1375,1269,0.0000,0.0000,0.0000
6,0.13,429,263,173,0.0000,0.0000,0.0000
7,0.43,1567,712,606,0.0000,0.0000,0.0000
8,7.16,34587,23767,10144,0.0000,0.0000,0.0000
9,0.52,1034,1992,354,0.0000,0.0000,0.0000
10,0.39,1423,1076,384,0.0000,0.0000,0.0000
11,0.32,459,1193,440,0.0000,0.0000,0.0000
12,0.55,2191,899,772,0.0000,0.0000,0.0000
13,0.02,29,33,30,0.0000,0.0000,0.0000
14,0.06,153,96,93,0.0000,0.0000,0.0000
15,0.15,352,111,248,0.0000,0.0000,0.0000
16,4.04,4643,2724,8380,0.0000,0.0000,0.0000
17,0.06,111,6,92,0.0000,0.0000,0.0000
18,0.02,15,19,30,0.0000,0.0000,0.0000
19,0.04,38,40,61,0.0000,0.0000,0.0000
20,3.51,5388,2312,6770,0.0000,0.0000,0.0000
21,0.18,536,118,309,0.0000,0.0000,0.0000
22,0.02,55,19,30,0.0000,0.0000,0.0000
23,0.02,59,24,30,0.0000,0.0000,0.0000
24,0.22,751,178,364,0.0000,0.0000,0.0000
25,0.04,90,7,60,0.0000,0.0000,0.0000
26,3.77,11177,3766,7413,0.0000,0.0000,0.0000
27,0.03,56,21,61,0.0000,0.0000,0.0000
28,0.02,23,12,30,0.0000,0.0000,0.0000
29,0.06,31,68,93,0.0000,0.0000,0.0000
30,0.02,5,29,30,0.0000,0.0000,0.0000
31,0.07,53,119,125,0.0000,0.0000,0.0000
32,0.12,128,174,216,0.0000,0.0000,0.0000
33,0.02,25,37,30,0.0000,0.0000,0.0000
34,0.22,349,510,403,0.0000,0.0000,0.0000
35,0.05,77,122,92,0.0000,0.0000,0.0000
36,0.02,20,39,30,0.0000,0.0000,0.0000
37,0.02,8,18,30,0.0000,0.0000,0.0000
38,6.14,8666,4061,13840,0.0000,0.0000,0.0000
39,0.02,27,7,30,0.0000,0.0000,0.0000
40,0.03,59,16,61,0.0000,0.0000,0.0000
41,0.11,282,127,185,0.0000,0.0000,0.0000
42,1.33,5754,1844,2339,0.0000,0.0000,0.0000
43,0.62,2599,423,1003,0.0000,0.0000,0.0000
44,0.07,241,59,123,0.0000,0.0000,0.0000
45,7.04,10406,6522,14132,0.0000,0.0000,0.0000
46,1.12,404,1457,1977,0.0000,0.0000,0.0000
47,0.04,32,41,61,0.0000,0.0000,0.0000
48,0.02,17,18,30,0.0000,0.0000,0.0000
49,0.11,247,42,188,0.0000,0.0000,0.0000
50,0.02,47,1,30,0.0000,0.0000,0.0000
51,0.02,46,2,30,0.0000,0.0000,0.0000
52,5.94,7055,3492,12438,0.0000,0.0000,0.0000
53,0.23,359,38,410,0.0000,0.0000,0.0000
54,0.02,35,6,30,0.0000,0.0000,0.0000
55,2.41,5583,4841,4753,0.0000,0.0000,0.0000
56,0.02,6,20,30,0.0000,0.0000,0.0000
57,5.86,17773,6032,11988,0.0000,0.0000,0.0000
58,2.08,8114,6645,1507,0.0000,0.0000,0.0000
59,3.00,9900,1796,5178,0.0000,0.0000,0.0000
60,0.09,150,17,154,0.0000,0.0000,0.0000
61,0.05,122,27,92,0.0000,0.0000,0.0000
62,0.02,53,12,30,0.0000,0.0000,0.0000
63,0.02,59,8,30,0.0000,0.0000,0.0000
64,1.16,4813,1194,1966,0.0000,0.0000,0.0000
65,0.09,31,30,155,0.0000,0.0000,0.0000
66,6.58,29027,4354,11679,0.0000,0.0000,0.0000
67,0.02,24,18,30,0.0000,0.0000,0.0000
68,0.02,11,27,30,0.0000,0.0000,0.0000
69,0.02,19,28,30,0.0000,0.0000,0.0000
70,0.04,92,28,61,0.0000,0.0000,0.0000
71,0.02,16,18,30,0.0000,0.0000,0.0000
72,0.02,7,23,30,0.0000,0.0000,0.0000
73,0.06,13,65,92,0.0000,0.0000,0.0000
74,8.22,37149,6049,14449,0.0000,0.0000,0.0000
75,0.04,53,37,61,0.0000,0.0000,0.0000
76,2.45,3398,3867,4414,0.0000,0.0000,0.0000
77,0.05,3,77,93,0.0000,0.0000,0.0000
78,0.07,7,85,123,0.0000,0.0000,0.0000
79,0.11,41,87,186,0.0000,0.0000,0.0000
80,0.03,13,11,61,0.0000,0.0000,0.0000
