elapsed_s,err_x_px,err_y_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.000,-16,52,-24,1500,1499,-0.48,-0.80,2.0224,2.4952,7.4284,1
0.018,-14,52,-23,1500,1499,-0.48,-0.80,2.0224,2.4952,7.4284,1
0.036,-13,52,-22,1500,1499,-0.48,-0.80,2.0224,2.4952,7.4284,1
0.053,-12,52,-22,1500,1499,-0.48,-0.80,2.0224,2.4952,7.4284,1
0.070,-11,52,-23,1500,1499,-0.48,-0.80,2.0224,2.4952,7.4284,1
0.088,-10,52,-23,1500,1499,-0.48,-0.80,2.0224,2.4952,7.4284,1
0.105,-9,52,-23,1500,1499,-0.48,-0.80,2.0224,2.4952,7.4284,1
0.122,-8,51,-22,1500,1499,-0.27,-0.77,2.0224,2.4952,7.4284,1
0.140,-7,51,-22,1500,1499,-0.27,-0.77,2.0224,2.4952,7.4284,1
0.159,-7,51,-22,1500,1499,-0.27,-0.77,2.0224,2.4952,7.4284,1
0.177,-7,51,-22,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.195,-6,51,-23,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.212,-5,51,-23,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.229,-4,51,-22,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.247,-3,50,-22,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.264,-2,50,-22,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.282,-2,49,-23,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.300,0,48,-23,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.317,0,48,-23,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.335,1,46,-22,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.352,1,46,-22,1500,1499,-0.27,-0.77,2.3386,2.6225,6.6080,1
0.370,1,47,-22,1500,1499,-0.14,-0.75,2.3386,2.6225,6.6080,1
0.388,1,47,-22,1500,1499,-0.14,-0.75,2.3386,2.6225,6.6080,1
0.411,2,46,-22,1500,1499,-0.14,-0.75,2.3386,2.6225,6.6080,1
0.433,3,45,-22,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.450,4,45,-22,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.470,5,44,-22,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.487,6,43,-22,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.505,7,41,-23,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.522,8,41,-22,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.539,8,40,-22,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.556,9,40,-22,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.575,9,39,-22,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.594,10,39,-23,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.611,10,38,-23,1500,1499,-0.14,-0.75,2.1746,2.5228,7.5585,1
0.629,11,37,-22,1500,1499,-0.23,-0.90,2.1746,2.5228,7.5585,1
0.646,11,36,-22,1500,1499,-0.23,-0.90,2.1746,2.5228,7.5585,1
0.664,11,35,-22,1500,1499,-0.23,-0.90,2.1746,2.5228,7.5585,1
0.684,12,35,-22,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.702,12,34,-22,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.719,12,34,-23,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.738,13,34,-23,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.755,13,33,-22,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.773,14,32,-22,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.790,15,31,-22,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.808,15,30,-22,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.827,15,28,-22,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.845,15,28,-23,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.863,15,27,-22,1500,1499,-0.23,-0.90,1.9750,2.8423,6.9085,1
0.881,15,26,-22,1500,1499,-0.01,-1.10,1.9750,2.8423,6.9085,1
0.899,15,25,-22,1500,1499,-0.01,-1.10,1.9750,2.8423,6.9085,1
0.918,15,24,-22,1500,1499,-0.01,-1.10,1.9750,2.8423,6.9085,1
0.936,15,24,-22,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
0.955,15,23,-22,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
0.972,15,23,-22,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
0.990,15,23,-22,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
1.008,16,23,-22,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
1.026,16,23,-21,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
1.043,16,23,-21,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
1.061,17,23,-21,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
1.079,17,24,-21,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
1.096,18,25,-22,1500,1499,-0.01,-1.10,2.0932,3.0721,7.2622,1
