attempt,align_time_s,total_abs_err_px,rms_vib
1,2.29,13353,7.8685
2,0.08,263,6.8413
3,1.70,11194,8.4926
4,2.60,18521,7.9999
5,0.37,1416,7.4513
6,0.03,50,7.4986
7,0.02,0,7.4986
8,1.07,6148,8.8698
9,2.55,11072,8.2316
10,0.09,228,8.4889
11,0.12,405,8.6477
12,0.51,2691,8.1873
13,0.36,1624,8.3441
14,0.37,1516,7.5790
15,1.68,12648,8.0837
16,0.46,2175,9.5479
17,0.85,5191,7.7617
18,3.62,19983,10.5407
19,4.08,31135,7.9457
20,1.17,6410,8.6852
21,1.85,12780,7.7206
22,1.53,10126,8.7944
