attempt,align_time_s,total_abs_err_x_px,total_abs_err_y_px,total_abs_err_pitch_px,mean_vib_x,mean_vib_y,mean_vib_z
1,1.42,7370,2536,1720,0.0000,0.0000,0.0000
2,1.19,4972,1912,1476,0.0000,0.0000,0.0000
3,0.43,587,1537,385,0.0000,0.0000,0.0000
4,0.29,65,1035,375,0.0000,0.0000,0.0000
5,0.02,7,55,29,0.0000,0.0000,0.0000
6,0.84,330,3161,1338,0.0000,0.0000,0.0000
7,0.83,1078,3197,1067,0.0000,0.0000,0.0000
8,0.15,306,504,119,0.0000,0.0000,0.0000
9,0.66,513,2461,560,0.0000,0.0000,0.0000
10,1.07,1433,3962,1553,0.0000,0.0000,0.0000
11,1.38,1606,5192,2003,0.0000,0.0000,0.0000
12,3.62,17761,11405,4935,0.0000,0.0000,0.0000
13,1.16,5372,3187,1557,0.0000,0.0000,0.0000
14,0.38,221,1311,389,0.0000,0.0000,0.0000
15,0.16,548,409,184,0.0000,0.0000,0.0000
16,0.11,291,365,102,0.0000,0.0000,0.0000
17,0.63,2339,973,438,0.0000,0.0000,0.0000
18,0.32,1146,128,168,0.0000,0.0000,0.0000
19,3.75,14167,13783,1841,0.0000,0.0000,0.0000
20,0.05,150,182,19,0.0000,0.0000,0.0000
21,2.44,16084,7233,785,0.0000,0.0000,0.0000
22,1.13,6122,2973,907,0.0000,0.0000,0.0000
23,2.85,13448,4848,1779,0.0000,0.0000,0.0000
24,0.58,243,2252,470,0.0000,0.0000,0.0000
25,0.89,3324,2376,785,0.0000,0.0000,0.0000
26,0.50,1875,1046,545,0.0000,0.0000,0.0000
27,1.40,6485,3287,291,0.0000,0.0000,0.0000
28,2.52,15948,3263,1121,0.0000,0.0000,0.0000
29,0.52,2018,1320,529,0.0000,0.0000,0.0000
30,0.20,580,674,223,0.0000,0.0000,0.0000
31,0.43,1683,1235,494,0.0000,0.0000,0.0000
32,3.79,22855,8757,2751,0.0000,0.0000,0.0000
33,0.17,622,212,43,0.0000,0.0000,0.0000
34,1.94,11143,729,882,0.0000,0.0000,0.0000
35,0.50,1909,150,27,0.0000,0.0000,0.0000
36,0.14,491,312,22,0.0000,0.0000,0.0000
37,0.28,402,1000,102,0.0000,0.0000,0.0000
38,0.11,365,239,1,0.0000,0.0000,0.0000
39,3.26,15483,5400,1097,0.0000,0.0000,0.0000
40,1.39,5681,761,279,0.0000,0.0000,0.0000
41,1.16,5342,1353,470,0.0000,0.0000,0.0000
42,1.38,7093,1074,191,0.0000,0.0000,0.0000
43,2.16,11331,3606,308,0.0000,0.0000,0.0000
44,0.98,5361,810,615,0.0000,0.0000,0.0000
45,1.23,4763,1244,467,0.0000,0.0000,0.0000
46,3.51,15532,1898,1883,0.0000,0.0000,0.0000
47,0.90,4272,131,243,0.0000,0.0000,0.0000
48,2.32,15371,1243,295,0.0000,0.0000,0.0000
49,0.07,243,40,33,0.0000,0.0000,0.0000
50,2.32,12387,3013,656,0.0000,0.0000,0.0000
51,0.13,427,40,65,0.0000,0.0000,0.0000
52,0.23,831,168,97,0.0000,0.0000,0.0000
53,1.89,9872,922,531,0.0000,0.0000,0.0000
54,0.68,2713,339,205,0.0000,0.0000,0.0000
55,1.43,7364,1549,480,0.0000,0.0000,0.0000
56,0.84,3884,440,39,0.0000,0.0000,0.0000
57,1.01,4797,531,198,0.0000,0.0000,0.0000
58,0.97,4008,280,163,0.0000,0.0000,0.0000
59,1.84,10467,2904,1709,0.0000,0.0000,0.0000
60,2.53,20588,2060,2003,0.0000,0.0000,0.0000
