elapsed_s,err_x_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.001,-177,0,1400,1500,-1.41,-0.35,2.7696,3.2803,5.8143,0
0.018,-178,0,1428,1500,-1.41,-0.35,2.7696,3.2803,5.8143,0
0.035,-179,-1,1428,1497,-1.41,-0.35,2.7696,3.2803,5.8143,0
0.052,-180,-1,1427,1500,-1.41,-0.35,2.7696,3.2803,5.8143,0
0.069,-181,-1,1427,1500,-1.41,-0.35,2.7696,3.2803,5.8143,0
0.086,-181,-1,1433,1500,-1.41,-0.35,2.7696,3.2803,5.8143,0
0.104,-180,-1,1439,1500,-1.41,-0.35,2.7696,3.2803,5.8143,0
0.122,-179,-1,1439,1500,-1.41,-0.35,2.7696,3.2803,5.8143,0
0.139,-179,-2,1433,1497,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.158,-178,-2,1439,1500,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.175,-177,-2,1440,1500,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.192,-176,-2,1440,1500,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.210,-174,-2,1446,1500,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.227,-173,-2,1441,1500,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.245,-171,-2,1448,1500,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.263,-168,-3,1454,1497,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.280,-168,-3,1437,1499,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.298,-166,-3,1450,1499,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.321,-163,-4,1452,1497,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.338,-161,-4,1452,1499,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.356,-160,-4,1446,1499,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.374,-159,-3,1446,1501,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.392,-158,-3,1447,1499,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.409,-157,-3,1447,1499,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.426,-156,-4,1448,1496,-1.66,-0.59,2.7696,3.2803,5.8143,0
0.443,-155,-4,1448,1499,-1.66,-0.59,2.5333,3.3967,5.9270,0
0.460,-155,-4,1442,1499,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.479,-154,-5,1448,1496,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.497,-154,-5,1443,1499,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.515,-153,-5,1448,1499,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.533,-153,-5,1443,1499,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.551,-153,-5,1443,1499,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.568,-152,-4,1449,1501,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.585,-152,-4,1443,1499,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.602,-152,-5,1443,1496,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.620,-151,-4,1450,1501,-1.42,-0.78,2.5333,3.3967,5.9270,0
0.637,-151,-5,1444,1496,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.655,-151,-5,1444,1499,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.672,-150,-5,1450,1499,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.691,-150,-5,1444,1499,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.708,-150,-5,1444,1499,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.726,-150,-5,1444,1499,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.744,-150,-6,1444,1495,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.761,-149,-6,1450,1498,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.778,-148,-6,1451,1498,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.796,-148,-6,1445,1498,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.813,-147,-6,1451,1498,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.831,-144,-5,1463,1500,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.849,-142,-5,1458,1499,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.867,-137,-7,1477,1492,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.886,-137,-7,1449,1498,-0.99,-1.21,2.5333,3.3967,5.9270,0
0.904,-134,-6,1466,1500,-0.99,-1.21,2.5333,3.3967,5.9270,0
