attempt,align_time_s,total_abs_err_px,rms_vib
1,2.45,17957,8.2492
2,0.85,4488,6.8949
3,1.32,8842,6.6518
4,0.02,0,9.6076
5,1.63,13145,7.9915
6,5.17,33984,7.5211
7,2.82,16485,8.2682
8,1.48,10277,7.3538
9,1.19,7029,7.5896
10,3.46,33899,7.9774
11,0.02,0,9.5556
12,0.03,79,9.5556
13,0.02,0,7.2999
14,1.09,6401,7.4265
