attempt,align_time_s,total_abs_err_px,rms_vib
1,4.73,38377,8.2565
2,0.86,4674,8.4945
3,2.46,23502,9.0638
4,2.31,14740,8.3883
5,11.41,70475,10.4260
6,3.19,14116,9.7549
7,0.02,0,8.2443
8,0.06,149,8.2443
9,0.04,87,8.8272
10,0.78,4531,9.5763
11,0.02,0,11.3093
12,2.07,17872,9.1174
13,1.39,11095,9.3613
14,0.82,4625,8.9763
15,0.90,5332,8.4075
16,2.60,26327,10.0337
17,5.75,44545,10.2975
18,1.04,6613,8.7080
19,0.02,0,8.0094
20,0.12,425,8.0094
21,0.02,0,10.9133
22,0.03,64,10.9133
23,0.03,62,10.9133
24,0.02,0,9.2414
25,0.59,3188,12.0480
