attempt,align_time_s,total_abs_err_px,rms_vib
1,0.84,3925,8.2021
2,0.02,0,8.0270
3,0.04,52,8.9883
4,0.05,98,8.9883
5,0.05,97,9.4332
6,0.99,5148,10.8109
7,3.76,29459,8.4598
8,1.53,9496,8.5613
9,4.48,28866,8.3007
10,6.51,43984,9.4591
11,1.69,9932,8.9117
12,0.03,80,10.2201
13,0.90,5208,10.6713
14,2.83,23265,12.7713
15,1.52,11059,9.4001
16,0.02,0,9.3021
17,4.59,33240,12.5400
18,1.50,14170,9.9051
19,1.27,7314,9.0482
20,1.12,4758,7.9976
21,0.24,1015,10.8787
22,0.51,2491,11.0810
