attempt,align_time_s,total_abs_err_px,rms_vib
1,1.03,4833,7.8608
2,3.82,26681,8.6978
3,1.49,8524,7.2113
4,7.24,49286,8.7156
5,10.09,52114,10.8095
6,2.70,14299,11.8632
7,4.10,16624,10.2890
8,1.46,9402,11.2739
9,2.31,24896,11.0023
10,3.27,24776,10.4029
11,1.93,14786,10.2269
12,0.02,0,9.0474
13,0.04,52,9.1518
14,0.02,0,9.2551
15,1.94,8083,11.8886
16,0.02,0,11.1884
