attempt,align_time_s,total_abs_err_px,rms_vib
1,6.32,29757,7.8059
2,4.37,35636,7.7391
3,0.73,3565,7.7985
4,0.82,4306,7.4645
5,0.99,5722,7.2213
6,0.27,1194,7.9145
7,1.76,11711,7.5652
8,0.02,0,7.5077
9,1.62,5054,7.7957
10,0.14,558,7.1018
11,1.18,6550,9.5244
12,0.04,56,10.4358
13,0.02,0,10.7342
14,3.60,24266,8.5680
15,0.39,1866,7.6217
16,4.35,32591,7.7217
17,3.22,27102,7.5402
18,0.76,3661,7.0750
19,0.73,3779,7.9922
20,1.35,9704,9.1215
21,1.19,8669,10.1898
22,2.90,21310,7.8276
23,0.21,958,7.4904
24,0.32,1587,7.3543
