attempt,align_time_s,total_abs_err_px,rms_vib
1,0.00,0,8.6771
2,1.67,12558,9.6942
3,2.11,15531,8.5651
4,1.38,9460,10.0716
5,0.62,3356,8.1979
6,4.71,32808,9.1612
7,6.62,53212,8.7175
8,5.27,42457,9.2713
9,0.12,531,9.3499
10,1.57,11034,8.5408
11,9.70,73401,8.4909
12,2.11,14470,8.6412
13,0.43,2242,9.7415
14,0.21,970,10.5409
15,0.11,438,10.6878
16,1.63,14228,8.9073
17,1.93,11995,8.4469
18,0.72,3170,8.0536
19,1.54,6894,7.7563
20,0.46,2088,7.4351
21,0.91,4600,7.6623
22,2.78,17675,8.0304
23,0.83,4082,8.8345
24,0.62,2929,8.1376
25,0.45,1655,8.1254
26,0.18,667,8.0963
27,0.86,5300,7.8897
28,0.21,707,7.9215
29,1.04,5529,8.2045
30,1.51,10725,8.1400
31,1.75,11149,8.5451
