attempt,align_time_s,total_abs_err_x_px,total_abs_err_y_px,total_abs_err_pitch_px,mean_vib_x,mean_vib_y,mean_vib_z
1,0.00,0,0,0,2.0224,2.4952,7.4284
2,0.04,43,61,18,2.4008,2.1761,6.5706
3,0.07,158,184,52,2.4008,2.1761,6.5706
4,0.55,2014,1155,594,2.3504,2.5699,6.9113
5,0.48,500,1567,489,2.1518,2.9401,8.1061
6,0.03,14,61,19,2.3196,2.7136,7.2477
7,0.07,30,185,60,2.0971,2.5405,7.5860
8,0.55,954,2102,566,2.3159,2.2602,6.8093
9,1.07,4481,2437,1090,2.1650,2.8682,7.3274
10,5.06,7746,21986,4597,2.3173,2.1800,6.8114
11,1.26,827,3304,2246,2.3934,1.9225,6.1957
12,9.12,26690,38529,15823,2.3196,2.3281,6.6078
