attempt,align_time_s,total_abs_err_px,rms_vib
1,1.28,0,9.0418
2,0.28,0,9.2781
3,0.17,0,7.9174
4,3.65,0,8.2364
5,0.14,0,7.9909
6,0.07,0,8.3540
7,0.02,0,7.5028
8,0.63,0,7.6084
9,4.06,0,7.8906
10,0.74,4627,8.8396
11,4.36,28144,7.7685
12,0.02,0,7.2975
13,0.02,0,7.7342
14,0.91,5027,7.4123
15,0.02,0,6.6698
16,0.02,0,6.6698
17,0.80,4427,7.1696
18,0.45,2247,7.8256
19,0.10,478,8.0874
20,0.28,1522,7.2815
21,1.34,9428,9.2676
22,0.18,958,8.1273
23,2.49,16676,7.1437
24,0.03,0,8.9997
25,0.02,0,8.9997
26,0.04,0,8.9997
27,0.02,0,8.0338
28,1.40,8622,8.0763
29,0.02,0,7.0399
30,0.96,4010,6.9874
31,0.02,0,7.3828
32,0.02,0,7.3828
33,0.33,1731,8.4426
34,0.02,0,7.3365
35,0.02,0,6.9815
36,0.04,0,7.0901
37,0.02,0,7.1971
38,1.08,6738,6.9555
39,1.30,8655,7.4567
40,0.02,0,7.6147
41,0.07,324,6.6439
42,0.02,0,8.1887
43,0.05,0,8.1887
44,0.12,0,7.8856
45,0.14,0,7.7893
46,0.02,0,7.7893
