elapsed_s,err_x_px,err_y_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.001,15,104,-3,1503,1500,0.18,-0.62,0.0000,0.0000,0.0000,0
0.019,15,104,-2,1503,1500,0.18,-0.62,0.0000,0.0000,0.0000,0
0.036,15,105,-3,1503,1500,0.18,-0.62,0.0000,0.0000,0.0000,0
0.053,15,105,-3,1503,1500,0.18,-0.62,0.0000,0.0000,0.0000,0
0.072,15,106,-2,1503,1500,0.18,-0.62,0.0000,0.0000,0.0000,0
0.089,14,105,-2,1502,1500,0.18,-0.62,0.0000,0.0000,0.0000,0
0.106,13,105,-2,1502,1500,0.18,-0.62,0.0000,0.0000,0.0000,0
0.123,13,105,-2,1502,1500,0.18,-0.62,0.0000,0.0000,0.0000,0
0.141,12,105,-2,1502,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.159,12,105,-2,1502,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.178,11,104,-3,1502,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.197,9,103,-3,1501,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.214,8,103,-3,1501,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.232,8,103,-2,1501,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.250,7,101,-3,1501,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.268,5,101,-2,1501,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.285,5,101,-3,1501,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.302,4,100,-2,1500,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.320,4,100,-2,1500,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.337,4,101,-2,1500,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.355,4,101,-2,1500,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.373,4,101,-3,1500,1500,0.09,-0.47,0.0000,0.0000,0.0000,0
0.393,3,102,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.411,3,102,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.428,2,103,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.446,2,103,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.463,2,103,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.480,2,104,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.498,2,103,-2,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.515,0,103,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.533,-1,102,-2,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.551,-1,101,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.568,-2,100,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.585,-2,99,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.602,-3,99,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.620,-3,99,-3,1500,1500,-0.32,-0.38,0.0000,0.0000,0.0000,0
0.637,-3,99,-4,1500,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.656,-3,99,-4,1500,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.676,-4,100,-3,1500,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.696,-5,99,-3,1499,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.713,-6,98,-3,1499,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.731,-7,97,-3,1499,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.748,-8,96,-4,1499,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.766,-9,95,-4,1499,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.783,-9,94,-4,1499,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.800,-10,93,-4,1498,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.819,-11,92,-4,1498,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.836,-12,91,-4,1498,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.853,-12,91,-4,1498,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.872,-11,89,-5,1498,1500,-0.66,-0.32,0.0000,0.0000,0.0000,0
0.890,-11,90,-4,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
0.908,-11,88,-6,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
0.928,-11,88,-6,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
0.946,-10,89,-5,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
0.964,-10,88,-7,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
0.982,-10,87,-8,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
1.000,-10,87,-7,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
1.018,-10,86,-7,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
1.036,-10,85,-7,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
1.053,-10,85,-7,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
1.070,-10,85,-8,1498,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
1.087,-9,84,-9,1499,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
1.105,-9,84,-8,1499,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
1.122,-9,84,-8,1499,1500,-0.85,-0.53,0.0000,0.0000,0.0000,0
1.139,-9,83,-8,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.157,-8,82,-8,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.174,-8,82,-8,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.191,-7,81,-9,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.208,-7,81,-9,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.226,-7,80,-8,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.244,-6,80,-9,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.261,-6,80,-9,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.278,-6,79,-9,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.296,-6,78,-10,1499,1499,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.314,-6,77,-10,1499,1499,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.331,-6,76,-10,1499,1499,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.349,-6,75,-9,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.367,-6,74,-9,1499,1500,-1.06,-0.56,0.0000,0.0000,0.0000,0
1.385,-6,73,-9,1499,1500,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.402,-6,71,-10,1499,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.419,-5,69,-11,1499,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.436,-5,69,-11,1499,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.454,-3,68,-10,1500,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.472,-2,68,-10,1500,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.489,-1,68,-10,1500,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.506,0,69,-10,1500,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.524,2,69,-10,1500,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.541,3,69,-10,1500,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.558,3,69,-11,1500,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.576,4,68,-11,1500,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.593,4,67,-11,1500,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.610,5,67,-10,1501,1499,-0.73,-1.06,0.0000,0.0000,0.0000,0
1.631,5,66,-10,1501,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.648,6,66,-10,1501,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.666,6,65,-10,1501,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.685,7,65,-10,1501,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.703,7,65,-11,1501,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.720,9,65,-10,1501,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.738,9,65,-10,1501,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.755,12,66,-10,1502,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.773,13,67,-10,1502,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.790,15,68,-10,1503,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.808,16,69,-10,1503,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.825,17,70,-11,1503,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.842,18,70,-11,1503,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.860,19,71,-10,1503,1499,-0.35,-1.33,0.0000,0.0000,0.0000,0
1.877,20,71,-10,1504,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
1.894,21,70,-10,1504,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
1.911,22,70,-10,1504,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
1.929,22,69,-10,1504,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
1.952,23,69,-11,1504,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
1.973,23,69,-12,1504,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
1.990,25,68,-10,1505,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
2.009,25,68,-10,1505,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
2.026,26,67,-10,1505,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
2.043,26,66,-10,1505,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
2.060,27,66,-11,1505,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
2.078,28,66,-12,1505,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
2.096,29,66,-11,1505,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
2.113,30,66,-10,1506,1499,-0.05,-0.99,0.0000,0.0000,0.0000,0
2.131,31,66,-11,1506,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.148,32,66,-11,1506,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.167,32,66,-11,1506,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.185,35,67,-11,1507,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.202,36,67,-12,1507,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.220,38,68,-11,1507,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.237,40,68,-11,1508,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.254,42,69,-11,1508,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.272,42,69,-11,1508,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.290,44,70,-11,1508,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.308,47,72,-11,1509,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.326,49,73,-11,1509,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.344,53,75,-11,1515,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.362,55,75,-10,1516,1499,0.16,-1.23,0.0000,0.0000,0.0000,0
2.380,57,76,-11,1517,1499,-0.29,-0.46,0.0000,0.0000,0.0000,0
2.397,59,77,-11,1517,1499,-0.29,-0.46,0.0000,0.0000,0.0000,0
2.415,60,77,-11,1518,1499,-0.29,-0.46,0.0000,0.0000,0.0000,0
2.433,62,78,-11,1518,1499,-0.29,-0.46,0.0000,0.0000,0.0000,0
2.451,66,80,-11,1519,1499,-0.29,-0.46,0.0000,0.0000,0.0000,0
2.468,67,82,-11,1520,1499,-0.29,-0.46,0.0000,0.0000,0.0000,0
