attempt,align_time_s,total_abs_err_px,rms_vib
1,3.60,34379,8.2364
2,0.40,1871,7.2604
3,3.42,28050,7.8293
4,14.43,85788,8.5136
5,1.33,7748,8.2010
6,0.13,424,8.1463
7,0.02,0,8.0844
8,0.30,649,7.2138
9,0.05,109,8.5508
10,0.03,57,7.3475
11,0.04,56,7.3475
12,0.04,62,6.5938
13,0.05,138,6.5938
14,2.70,19997,11.2138
15,1.26,9509,8.4349
16,0.39,1946,11.2521
17,0.02,0,9.9318
18,0.04,34,12.4567
19,0.03,42,12.4567
20,0.37,1984,8.4481
21,4.56,33090,8.5577
22,0.03,80,9.2835
23,1.41,16161,9.4598
24,1.88,17471,8.9963
25,0.80,4348,7.9892
26,0.94,6163,13.9054
27,1.11,6325,11.3245
28,0.62,3121,10.5399
29,2.02,13731,9.6130
30,1.39,9570,9.2359
31,1.47,9697,8.4948
