elapsed_s,err_x_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.000,67,-22,1600,1428,-0.65,0.05,2.6991,3.3541,5.5597,0
0.020,66,-23,1504,1491,-0.65,0.05,2.6991,3.3541,5.5597,0
0.037,65,-23,1504,1494,-0.65,0.05,2.6991,3.3541,5.5597,0
0.055,65,-22,1509,1497,-0.65,0.05,2.6991,3.3541,5.5597,0
0.072,64,-22,1503,1494,-0.65,0.05,2.6991,3.3541,5.5597,0
0.089,64,-22,1509,1494,-0.65,0.05,2.6991,3.3541,5.5597,0
0.106,62,-22,1498,1494,-0.65,0.05,2.6991,3.3541,5.5597,0
0.124,62,-22,1509,1494,-0.77,0.02,2.6991,3.3541,5.5597,0
0.141,62,-23,1509,1491,-0.77,0.02,2.6991,3.3541,5.5597,0
0.158,61,-23,1503,1494,-0.77,0.02,2.6991,3.3541,5.5597,0
0.175,61,-23,1509,1494,-0.77,0.02,2.6991,3.3541,5.5597,0
0.193,61,-23,1509,1494,-0.77,0.02,2.6991,3.3541,5.5597,0
0.212,60,-23,1503,1493,-0.77,0.02,2.6991,3.3541,5.5597,1
0.330,58,-24,1507,1493,-0.77,0.02,2.6991,3.3541,5.5597,1
0.347,58,-24,1508,1493,-0.77,0.02,2.6991,3.3541,5.5597,1
0.366,57,-24,1503,1493,-0.77,0.02,2.6991,3.3541,5.5597,1
0.384,57,-23,1508,1496,-0.77,0.02,2.6991,3.3541,5.5597,1
0.401,57,-24,1508,1490,-0.77,0.02,2.6991,3.3541,5.5597,1
0.420,56,-23,1503,1496,-0.77,0.02,2.6991,3.3541,5.5597,1
0.437,56,-23,1508,1493,-0.48,0.23,2.8984,3.0561,6.4014,1
0.454,56,-23,1508,1493,-0.48,0.23,2.8984,3.0561,6.4014,1
0.472,56,-24,1508,1490,-0.48,0.23,2.8984,3.0561,6.4014,1
0.490,56,-24,1508,1493,-0.48,0.23,2.8984,3.0561,6.4014,1
0.507,56,-24,1508,1493,-0.48,0.23,2.8984,3.0561,6.4014,1
0.524,56,-23,1508,1496,-0.48,0.23,2.8984,3.0561,6.4014,1
0.542,56,-24,1508,1490,-0.48,0.23,2.8984,3.0561,6.4014,1
0.559,57,-25,1514,1490,-0.48,0.23,2.8984,3.0561,6.4014,1
0.577,56,-24,1502,1496,-0.48,0.23,2.8984,3.0561,6.4014,1
0.594,57,-24,1514,1493,-0.48,0.23,2.8984,3.0561,6.4014,1
0.611,56,-24,1502,1493,-0.48,0.23,2.8984,3.0561,6.4014,1
0.628,56,-25,1508,1490,-0.65,0.64,2.8984,3.0561,6.4014,1
0.646,55,-24,1502,1496,-0.65,0.64,2.8984,3.0561,6.4014,1
0.664,54,-25,1502,1490,-0.65,0.64,2.8984,3.0561,6.4014,1
0.682,53,-25,1502,1493,-0.65,0.64,2.8984,3.0561,6.4014,1
0.699,52,-25,1502,1493,-0.65,0.64,2.8984,3.0561,6.4014,1
0.717,51,-25,1502,1493,-0.65,0.64,2.8984,3.0561,6.4014,1
0.735,50,-26,1501,1493,-0.65,0.64,2.8984,3.0561,6.4014,1
0.752,50,-26,1507,1490,-0.65,0.64,2.8984,3.0561,6.4014,1
0.770,48,-26,1496,1492,-0.65,0.64,2.8984,3.0561,6.4014,1
0.787,48,-26,1507,1492,-0.65,0.64,2.8984,3.0561,6.4014,1
0.805,46,-26,1496,1492,-0.65,0.64,2.8984,3.0561,6.4014,1
0.823,45,-26,1501,1492,-0.65,0.64,2.8984,3.0561,6.4014,1
0.840,44,-26,1500,1492,-0.65,0.64,2.8984,3.0561,6.4014,1
0.858,42,-26,1495,1492,-0.65,0.64,2.8984,3.0561,6.4014,1
0.875,41,-27,1500,1489,-0.65,0.64,2.8984,3.0561,6.4014,1
0.893,41,-27,1506,1492,-0.65,0.64,2.8984,3.0561,6.4014,1
0.911,38,-27,1490,1492,-0.65,0.64,2.8984,3.0561,6.4014,1
0.932,36,-27,1497,1492,-0.47,0.60,2.6881,3.3096,5.8862,1
0.949,35,-27,1500,1492,-0.47,0.60,2.6881,3.3096,5.8862,1
0.966,34,-27,1500,1492,-0.47,0.60,2.6881,3.3096,5.8862,1
0.984,33,-27,1500,1492,-0.47,0.60,2.6881,3.3096,5.8862,1
1.001,32,-27,1500,1492,-0.47,0.60,2.6881,3.3096,5.8862,1
1.019,31,-28,1500,1489,-0.47,0.60,2.6881,3.3096,5.8862,1
1.037,27,-28,1482,1492,-0.47,0.60,2.6881,3.3096,5.8862,1
1.054,26,-28,1499,1492,-0.47,0.60,2.6881,3.3096,5.8862,1
1.071,24,-28,1492,1492,-0.47,0.60,2.6881,3.3096,5.8862,1
1.088,23,-29,1498,1488,-0.47,0.60,2.6881,3.3096,5.8862,1
1.106,20,-29,1486,1491,-0.47,0.60,2.6881,3.3096,5.8862,1
1.123,18,-28,1492,1495,-0.57,0.50,2.6881,3.3096,5.8862,1
1.140,16,-29,1491,1488,-0.57,0.50,2.6881,3.3096,5.8862,1
1.157,13,-29,1485,1491,-0.57,0.50,2.6881,3.3096,5.8862,1
