elapsed_s,err_x_px,err_y_px,err_pitch_px,target_roll_us,target_pitch_us,actual_roll_deg,actual_pitch_deg,vib_x,vib_y,vib_z,aligned
0.001,-49,12,-27,1491,1499,-0.32,-0.62,2.8165,4.3880,8.4425,1
0.019,-48,11,-28,1491,1499,-0.32,-0.62,2.8165,4.3880,8.4425,1
0.036,-48,10,-27,1491,1499,-0.32,-0.62,2.8165,4.3880,8.4425,1
0.054,-48,9,-27,1491,1499,-0.32,-0.62,2.8165,4.3880,8.4425,1
0.071,-48,8,-27,1491,1499,-0.32,-0.62,2.8165,4.3880,8.4425,1
0.088,-47,8,-27,1491,1499,-0.32,-0.62,2.8165,4.3880,8.4425,1
0.105,-47,8,-27,1491,1499,-0.32,-0.62,2.8165,4.3880,8.4425,1
0.122,-47,8,-27,1491,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.140,-46,7,-27,1491,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.157,-46,7,-27,1491,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.176,-45,6,-27,1491,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.194,-44,6,-27,1492,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.211,-44,5,-27,1492,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.230,-43,5,-28,1492,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.250,-43,5,-28,1492,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.268,-42,5,-27,1492,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.286,-41,4,-27,1492,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.304,-41,4,-27,1492,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.321,-40,4,-27,1498,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.339,-40,3,-27,1498,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.357,-39,3,-27,1499,1499,0.08,-0.77,2.8165,4.3880,8.4425,1
0.375,-38,2,-27,1499,1499,0.38,-0.70,2.8165,4.3880,8.4425,1
0.393,-38,2,-27,1499,1499,0.38,-0.70,2.8165,4.3880,8.4425,1
0.410,-37,2,-27,1499,1499,0.38,-0.70,2.8165,4.3880,8.4425,1
0.428,-37,2,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.445,-36,2,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.464,-35,2,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.481,-35,3,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.498,-33,3,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.515,-33,2,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.533,-33,2,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.553,-32,1,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.572,-32,1,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.590,-31,1,-26,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.608,-31,1,-27,1499,1499,0.38,-0.70,1.9435,4.6051,7.7702,1
0.626,-30,1,-26,1499,1499,0.46,-0.72,1.9435,4.6051,7.7702,1
0.643,-30,1,-27,1499,1499,0.46,-0.72,1.9435,4.6051,7.7702,1
0.660,-29,1,-26,1499,1499,0.46,-0.72,1.9435,4.6051,7.7702,1
0.677,-29,2,-26,1499,1499,0.46,-0.72,1.9435,4.6051,7.7702,1
0.695,-28,2,-26,1499,1499,0.46,-0.72,1.9435,4.6051,7.7702,1
0.712,-27,2,-27,1499,1499,0.46,-0.72,1.9435,4.6051,7.7702,1
0.729,-26,1,-26,1499,1499,0.46,-0.72,1.9435,4.6051,7.7702,1
