attempt,align_time_s,total_abs_err_x_px,total_abs_err_y_px,total_abs_err_pitch_px,mean_vib_x,mean_vib_y,mean_vib_z
1,0.00,0,0,0,2.8165,4.3880,8.4425
2,2.76,14127,1530,4356,2.4820,4.1071,8.3632
3,0.02,0,0,0,2.6767,3.8396,7.2318
4,0.02,0,0,0,2.6767,3.8396,7.2318
5,0.02,0,0,0,2.6767,3.8396,7.2318
6,0.14,238,257,218,2.5536,3.2806,7.6011
7,0.02,0,0,0,2.5360,3.2007,7.6539
8,2.81,2402,2806,5775,2.5609,3.8643,7.7610
9,0.02,0,0,0,2.9632,2.6198,6.6201
10,0.02,0,0,0,2.2666,3.1532,8.0884
11,0.03,7,9,31,2.4340,3.5659,7.0800
12,0.19,46,53,310,2.4611,3.5192,7.2791
13,0.07,6,14,93,2.5831,3.3090,8.1753
14,0.13,10,37,186,2.5569,3.2815,8.1868
15,0.07,4,29,93,2.3996,3.1167,8.2555
16,0.04,1,13,31,2.3996,3.1167,8.2555
17,0.05,16,27,62,2.4007,3.3238,7.6183
18,2.39,12540,1846,1930,2.5299,3.1498,7.2887
19,0.40,1343,88,553,2.5849,4.6409,8.4033
20,0.05,122,14,56,2.2758,5.0949,8.0139
21,0.02,0,0,0,2.4598,4.2398,7.1059
22,0.02,0,0,0,2.4598,4.2398,7.1059
23,0.05,19,45,62,2.5542,3.4833,7.5809
24,0.02,0,0,0,2.5542,3.4833,7.5809
25,0.05,33,40,62,2.5542,3.4833,7.5809
26,0.10,73,90,156,2.3177,2.8854,6.5637
27,0.02,0,0,0,2.6306,2.9178,7.2153
28,0.05,38,39,62,2.4090,3.7343,7.2569
29,0.02,0,0,0,2.4090,3.7343,7.2569
30,0.04,27,22,31,2.4090,3.7343,7.2569
31,0.04,39,23,31,2.4404,3.7821,6.7810
32,0.05,98,45,62,2.3730,3.9090,7.5800
33,1.95,9121,3200,2877,2.4337,4.3842,7.7579
34,0.44,1604,541,628,2.2913,5.1149,7.5132
35,0.02,0,0,0,2.6566,3.6393,8.8398
